repository,workflow,slack_channel,codeowners
SonarSource/sonar-scanner-jenkins,slack_notify.yml,squad-workflow-standards-build-errors,.github/CODEOWNERS @sonarsource/orchestration-workflow-squad
SonarSource/sonar-php,slack-notify.yaml,squad-security-cloud-notifs,.github/CODEOWNERS @SonarSource/security-cloud-squad
SonarSource/sonar-abap,slack_notify.yml,squad-security-taint-notifs,.github/CODEOWNERS @SonarSource/security-engine-squad
SonarSource/sonar-cobol,slack_notify.yml,squad-abd,.github/CODEOWNERS @SonarSource/quality-abd-squad
SonarSource/sonar-plsql,SlackNotification.yml,team-analysis-plsql,.github/CODEOWNERS @SonarSource/quality-dotnet-squad
SonarSource/sonar-vb,SlackNotification.yml,team-analysis-vb6,.github/CODEOWNERS @SonarSource/quality-dotnet-squad
SonarSource/sonar-java,slack_notify.yml,squad-jvm-notifs,.github/CODEOWNERS @SonarSource/quality-jvm-squad
SonarSource/sonar-pli,slack_notify.yml,squad-security-taint-notifs,.github/CODEOWNERS @SonarSource/security-engine-squad
SonarSource/sonar-cpp,slack_notify.yml,squad-cfamily,.github/CODEOWNERS @sonarsource/quality-cfamily-squad
SonarSource/sonar-update-center,slack_notify.yml,squad-sq-platform-build-notification,.github/CODEOWNERS @SonarSource/platform-onprem-squad
SonarSource/sonar-xml,slack_notify.yml,squad-jvm-notifs,.github/CODEOWNERS @SonarSource/quality-jvm-squad
SonarSource/sonar-db-copy,slack_notify.yml,team-corpex-build-notifications,.github/CODEOWNERS @SonarSource/corpex-team
SonarSource/sonar-rpg,slack_notify.yml,squad-security-taint-notifs,.github/CODEOWNERS @SonarSource/security-engine-squad
SonarSource/sonar-dummy,slack_notify.yml,squad-eng-xp-github,* @sonarsource/platform-eng-xp-squad
SonarSource/sonar-scanner-msbuild,SlackNotification.yml,squad-dotnet-s4net,.github/CODEOWNERS @SonarSource/quality-dotnet-squad
SonarSource/docker-sonarqube,slack_notify.yml,squad-sq-platform-build-notification,.github/CODEOWNERS @SonarSource/platform-onprem-squad
SonarSource/sonar-scanner-gradle,slack_notify.yml,squad-jvm-notifs,.github/CODEOWNERS @SonarSource/quality-jvm-squad
SonarSource/orchestrator,slack_notify.yml,squad-sq-platform-build-notification,.github/CODEOWNERS @SonarSource/platform-onprem-squad
SonarSource/sonar-scanner-maven,slack_notify.yml,squad-jvm-notifs,.github/CODEOWNERS @SonarSource/quality-jvm-squad
SonarSource/sonarlint-core,slack_notify.yml,squad-ide-slcore-bots,.github/CODEOWNERS @SonarSource/remediation-ide-experience-squad
SonarSource/sonar-tsql,SlackNotification.yml,team-analysis-tsql,.github/CODEOWNERS @SonarSource/quality-dotnet-squad
SonarSource/sonar-security,slack_notify.yml,squad-security-taint-notifs,.github/CODEOWNERS @SonarSource/security-engine-squad
SonarSource/sonar-enterprise,slack_notify.yml,squad-sq-platform-build-notification,gradle.properties @SonarSource/platform-onprem-squad
SonarSource/slang,slack_notify.yml,squad-jvm-notifs,.github/CODEOWNERS @SonarSource/quality-jvm-squad
SonarSource/iris,slack_notify.yml,squad-sq-platform-build-notification,.github/CODEOWNERS @SonarSource/platform-onprem-squad
SonarSource/sonar-apex,slack_notify.yml,squad-jvm-notifs,.github/CODEOWNERS @SonarSource/quality-jvm-squad
SonarSource/slang-enterprise,slack_notify.yml,squad-jvm-notifs,.github/CODEOWNERS @SonarSource/quality-jvm-squad
SonarSource/sonarcloud-core-infra,slack_notify.yml,ops-sonarcloud-platform,* @SonarSource/platform-cloud-squad
